+--------+-----------+--------------------------------------------+---------------------------+-----------------------------------------------------------------------------+--------------------------+
| Domain | Method    | URI                                        | Name                      | Action                                                                      | Middleware               |
+--------+-----------+--------------------------------------------+---------------------------+-----------------------------------------------------------------------------+--------------------------+
|        | GET|HEAD  | /                                          |                           | App\Http\Controllers\Front\BerandaController@index                          | web                      |
|        | GET|HEAD  | program/{program}/edit                     | program.edit              | App\Http\Controllers\Front\ProgramController@edit                           | web                      |
|        | GET|HEAD  | register                                   |                           | App\Http\Controllers\Back\Auth\RegisterController@showRegistrationForm      | web,guest                |
|        | POST      | register                                   |                           | App\Http\Controllers\Back\Auth\RegisterController@register                  | web,guest                |
|        | POST      | sipaman                                    | sipaman.store             | App\Http\Controllers\Front\SipamanController@store                          | web                      |
|        | GET|HEAD  | sipaman                                    | sipaman.index             | App\Http\Controllers\Front\SipamanController@index                          | web                      |
|        | GET|HEAD  | sipaman/create                             | sipaman.create            | App\Http\Controllers\Front\SipamanController@create                         | web                      |
|        | DELETE    | sipaman/{sipaman}                          | sipaman.destroy           | App\Http\Controllers\Front\SipamanController@destroy                        | web                      |
|        | PUT|PATCH | sipaman/{sipaman}                          | sipaman.update            | App\Http\Controllers\Front\SipamanController@update                         | web                      |
|        | GET|HEAD  | sipaman/{sipaman}                          | sipaman.show              | App\Http\Controllers\Front\SipamanController@show                           | web                      |
|        | GET|HEAD  | sipaman/{sipaman}/edit                     | sipaman.edit              | App\Http\Controllers\Front\SipamanController@edit                           | web                      |
|        | GET|HEAD  | users                                      | users.index               | App\Http\Controllers\Back\UserControl\UserController@index                  | web,auth,auth.basic,auth |
|        | POST      | users                                      | users.store               | App\Http\Controllers\Back\UserControl\UserController@store                  | web,auth,auth.basic,auth |
|        | GET|HEAD  | users/create                               | users.create              | App\Http\Controllers\Back\UserControl\UserController@create                 | web,auth,auth.basic,auth |
|        | GET|HEAD  | users/{user}                               | users.show                | App\Http\Controllers\Back\UserControl\UserController@show                   | web,auth,auth.basic,auth |
|        | PUT|PATCH | users/{user}                               | users.update              | App\Http\Controllers\Back\UserControl\UserController@update                 | web,auth,auth.basic,auth |
|        | DELETE    | users/{user}                               | users.destroy             | App\Http\Controllers\Back\UserControl\UserController@destroy                | web,auth,auth.basic,auth |
|        | GET|HEAD  | users/{user}/edit                          | users.edit                | App\Http\Controllers\Back\UserControl\UserController@edit                   | web,auth,auth.basic,auth |
+--------+-----------+--------------------------------------------+---------------------------+-----------------------------------------------------------------------------+--------------------------+
